2023-11-14 12:17:00,084 INFO    MainThread:22896 [wandb_config.py:__setitem__():151] config set revision = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000148CE1A9550>>
2023-11-14 12:17:00,084 INFO    MainThread:22896 [wandb_run.py:_config_callback():1342] config_cb revision None None
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_config.py:__setitem__():151] config set optim_type = AdamW - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000148CE1A9550>>
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_run.py:_config_callback():1342] config_cb optim_type AdamW None
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_config.py:__setitem__():151] config set resolution = 256 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000148CE1A9550>>
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_run.py:_config_callback():1342] config_cb resolution 256 None
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_config.py:__setitem__():151] config set epochs = 4 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000148CE1A9550>>
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_run.py:_config_callback():1342] config_cb epochs 4 None
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_config.py:__setitem__():151] config set lr = 0.0001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000148CE1A9550>>
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_run.py:_config_callback():1342] config_cb lr 0.0001 None
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_config.py:__setitem__():151] config set batch_size = 16 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000148CE1A9550>>
2023-11-14 12:17:00,085 INFO    MainThread:22896 [wandb_run.py:_config_callback():1342] config_cb batch_size 16 None
2023-11-14 12:17:32,767 WARNING MsgRouterThr:22896 [router.py:message_loop():77] message_loop has been closed
